Cement | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Cement
Cement | Berriasian | unknown | Berriasian foreland flexure been also accommodated Cement
Cement | Valanginian | unknown | Valanginian foreland flexure been also accommodated Cement
Cement | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Cement
Cement | Barremian | unknown | Barremian foreland flexure been also accommodated Cement
Cement | Aptian | unknown | Aptian foreland flexure been also accommodated Cement
Cement | Albian | unknown | Albian foreland flexure been also accommodated Cement
Cement | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Cement
Cement | Turonian | unknown | Turonian foreland flexure been also accommodated Cement
Cement | Coniacian | unknown | Coniacian foreland flexure been also accommodated Cement
Cement | Santonian | unknown | Santonian foreland flexure been also accommodated Cement
Cement | Campanian | unknown | Campanian foreland flexure been also accommodated Cement
Cement | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Cement
Acicular | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Acicular
Acicular | Berriasian | unknown | Berriasian foreland flexure been also accommodated Acicular
Acicular | Valanginian | unknown | Valanginian foreland flexure been also accommodated Acicular
Acicular | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Acicular
Acicular | Barremian | unknown | Barremian foreland flexure been also accommodated Acicular
Acicular | Aptian | unknown | Aptian foreland flexure been also accommodated Acicular
Acicular | Albian | unknown | Albian foreland flexure been also accommodated Acicular
Acicular | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Acicular
Acicular | Turonian | unknown | Turonian foreland flexure been also accommodated Acicular
Acicular | Coniacian | unknown | Coniacian foreland flexure been also accommodated Acicular
Acicular | Santonian | unknown | Santonian foreland flexure been also accommodated Acicular
Acicular | Campanian | unknown | Campanian foreland flexure been also accommodated Acicular
Acicular | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Acicular
Fibrous | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Fibrous
Fibrous | Berriasian | unknown | Berriasian foreland flexure been also accommodated Fibrous
Fibrous | Valanginian | unknown | Valanginian foreland flexure been also accommodated Fibrous
Fibrous | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Fibrous
Fibrous | Barremian | unknown | Barremian foreland flexure been also accommodated Fibrous
Fibrous | Aptian | unknown | Aptian foreland flexure been also accommodated Fibrous
Fibrous | Albian | unknown | Albian foreland flexure been also accommodated Fibrous
Fibrous | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Fibrous
Fibrous | Turonian | unknown | Turonian foreland flexure been also accommodated Fibrous
Fibrous | Coniacian | unknown | Coniacian foreland flexure been also accommodated Fibrous
Fibrous | Santonian | unknown | Santonian foreland flexure been also accommodated Fibrous
Fibrous | Campanian | unknown | Campanian foreland flexure been also accommodated Fibrous
Fibrous | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Fibrous
Botryoidal | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Botryoidal
Botryoidal | Berriasian | unknown | Berriasian foreland flexure been also accommodated Botryoidal
Botryoidal | Valanginian | unknown | Valanginian foreland flexure been also accommodated Botryoidal
Botryoidal | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Botryoidal
Botryoidal | Barremian | unknown | Barremian foreland flexure been also accommodated Botryoidal
Botryoidal | Aptian | unknown | Aptian foreland flexure been also accommodated Botryoidal
Botryoidal | Albian | unknown | Albian foreland flexure been also accommodated Botryoidal
Botryoidal | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Botryoidal
Botryoidal | Turonian | unknown | Turonian foreland flexure been also accommodated Botryoidal
Botryoidal | Coniacian | unknown | Coniacian foreland flexure been also accommodated Botryoidal
Botryoidal | Santonian | unknown | Santonian foreland flexure been also accommodated Botryoidal
Botryoidal | Campanian | unknown | Campanian foreland flexure been also accommodated Botryoidal
Botryoidal | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Botryoidal
Radiaxial | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Radiaxial
Radiaxial | Berriasian | unknown | Berriasian foreland flexure been also accommodated Radiaxial
Radiaxial | Valanginian | unknown | Valanginian foreland flexure been also accommodated Radiaxial
Radiaxial | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Radiaxial
Radiaxial | Barremian | unknown | Barremian foreland flexure been also accommodated Radiaxial
Radiaxial | Aptian | unknown | Aptian foreland flexure been also accommodated Radiaxial
Radiaxial | Albian | unknown | Albian foreland flexure been also accommodated Radiaxial
Radiaxial | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Radiaxial
Radiaxial | Turonian | unknown | Turonian foreland flexure been also accommodated Radiaxial
Radiaxial | Coniacian | unknown | Coniacian foreland flexure been also accommodated Radiaxial
Radiaxial | Santonian | unknown | Santonian foreland flexure been also accommodated Radiaxial
Radiaxial | Campanian | unknown | Campanian foreland flexure been also accommodated Radiaxial
Radiaxial | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Radiaxial
Bladed | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Bladed
Bladed | Berriasian | unknown | Berriasian foreland flexure been also accommodated Bladed
Bladed | Valanginian | unknown | Valanginian foreland flexure been also accommodated Bladed
Bladed | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Bladed
Bladed | Barremian | unknown | Barremian foreland flexure been also accommodated Bladed
Bladed | Aptian | unknown | Aptian foreland flexure been also accommodated Bladed
Bladed | Albian | unknown | Albian foreland flexure been also accommodated Bladed
Bladed | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Bladed
Bladed | Turonian | unknown | Turonian foreland flexure been also accommodated Bladed
Bladed | Coniacian | unknown | Coniacian foreland flexure been also accommodated Bladed
Bladed | Santonian | unknown | Santonian foreland flexure been also accommodated Bladed
Bladed | Campanian | unknown | Campanian foreland flexure been also accommodated Bladed
Bladed | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Bladed
Dripstone | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Dripstone
Dripstone | Berriasian | unknown | Berriasian foreland flexure been also accommodated Dripstone
Dripstone | Valanginian | unknown | Valanginian foreland flexure been also accommodated Dripstone
Dripstone | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Dripstone
Dripstone | Barremian | unknown | Barremian foreland flexure been also accommodated Dripstone
